orgao,classe_operacional,manifestacoes,pesquisas,tmr_dias,pma_pct,rp_pct,ri_pct,nr_nps,igro_pct,faixa_risco,amostra_insuficiente,perfil
GOINFRA,3,2109,501,4.46,0.05,73.45,1.71,73.85,100.0,Controlado,False,Excelencia
CELGPAR,5,4,1,18.75,50.0,100.0,0.0,100.0,0.0,Critico,False,Critico
